"Variable","eGFR ≥ 60 (n=68)","eGFR < 60 (n=27)","p_value","Test_Used"
"Years","58 (49.8-63)","60 (54.5-66)",0.18090054092264,"Mann-Whitney U test"
"М-prot g/l","0 (0-7.7)","4.4 (0-19.1)",0.0461486618425212,"Mann-Whitney U test"
"β₂-microhlob","2.4 (2.1-3.1)","4.2 (2.7-5.8)",1.22079604917906e-05,"Mann-Whitney U test"
"CREA...44","69.1 (56.3-82.9)","125.5 (115-147.2)",1.39003257734142e-13,"Mann-Whitney U test"
"Urea","4.8 (3.8-6.3)","7.8 (6.2-9.9)",5.82837350071759e-07,"Mann-Whitney U test"
"Са","2.3 (2.2-2.5)","2.4 (2.2-2.5)",0.626228244209199,"Mann-Whitney U test"
"Hb","127 (117-134)","110 (85.5-119.5)",6.19543713690536e-05,"Welch Two Sample t-test"
"Total TPROP","78.5 (73.5-83.5)","80 (75-85.5)",0.394458897370552,"Mann-Whitney U test"
"alb","42.5 (41.6-43.8)","42.3 (41.2-43.5)",0.265055877428394,"Mann-Whitney U test"
"CRP","6 (6-6)","6 (6-12)",0.0426652725467371,"Mann-Whitney U test"
"NGAL","177.8 (157.2-199.2)","202.2 (188.2-210.3)",0.00330848884951138,"Mann-Whitney U test"
"FGF23","59 (40.5-294.2)","57.1 (45.5-96.6)",0.823699391515383,"Mann-Whitney U test"
"ACR","11.4 (5.6-34.1)","136.2 (45.4-136.2)",1.98922574487991e-09,"Mann-Whitney U test"
